CAS,Chemical Name,Smiles,Molecular Weight (g/mol),Averaged LC50 (mg/L),Averaged LC50 (mol/L),-LOG10(mol/L),contains_metal
1634-02-2,Tetrabutylthioperoxydicarbonic diamide,CCCCN(CCCC)C(=S)SSC(=S)N(CCCC)CCCC,408.7680000000003,10,2.44638E-05,4.61147689,FALSE
98-95-3,Nitrobenzene,[O-][N+](=O)c1ccccc1,123.11099999999996,18,0.00014621,3.835024354,FALSE
6317-18-6,"Thiocyanic acid, C,C'-Methylene ester",N#CSCSC#N,130.197,0.042,3.22588E-07,6.491351687,FALSE
108-95-2,Phenol,Oc1ccccc1,94.11299999999999,243,0.002582002,2.588043344,FALSE
103-65-1,Propylbenzene,CCCc1ccccc1,120.19499999999995,1.8,1.49757E-05,4.824613897,FALSE
58-89-9,"(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane",ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,290.832,2.5,8.59603E-06,5.065702181,FALSE
2163-68-0,"4-(Ethylamino)-6-[(1-methylethyl)amino]-1,3,5-triazin-2(1H)-one",CCNC1=NC(=O)N=C(NC(C)C)N1,197.24200000000002,10,5.06991E-05,4.294999398,FALSE
1319-77-3,Cresol,Cc1ccc(O)cc1,108.13999999999999,137,0.001266876,2.897265798,FALSE
97-00-7,"1-Chloro-2,4-dinitrobenzene",[O-][N+](=O)c1ccc(Cl)c(c1)[N+]([O-])=O,202.55299999999997,0.8,3.94958E-06,5.403448693,FALSE
74-83-9,Bromomethane,CBr,94.939,3.466666666666667,3.65147E-05,4.437532568,FALSE
108-18-9,N-(1-Methyethyl)-2-propanamine,CC(C)NC(C)C,101.19299999999998,99.903125,0.000987253,3.005571398,FALSE
1912-24-9,"6-Chloro-N-ethyl-N'-(1-methylethyl)-1,3,5-triazine-2,4-diamine",CCNc1nc(Cl)nc(NC(C)C)n1,215.68800000000002,2118795.7567411764,9.823429012,-0.992263111,FALSE
89-61-2,"1,4-Dichloro-2-nitrobenzene",[O-][N+](=O)c1cc(Cl)ccc1Cl,192.001,2.1,1.09374E-05,4.961084196,FALSE
581-40-8,"2,3-Dimethylnaphthalene",Cc1cc2ccccc2cc1C,156.22799999999998,12,7.68108E-05,4.114577627,FALSE
1198-55-6,"3,4,5,6-Tetrachlorocatechol",Oc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,247.892,0.079325664,3.20001E-07,6.494848795,FALSE
470-90-6,"Phosphoric acid, 2-Chloro-1-(2,4-dichlorophenyl)ethenyl diethyl ester",CCO[P](=O)(OCC)OC(=C\Cl)/c1ccc(Cl)cc1Cl,359.5730000000001,16,4.44972E-05,4.351667091,FALSE
97-74-5,"N,N,N',N'-Tetramethylthiodicarbonic diamide ([(H2N)C(S)]2S)",CN(C)C(=S)SC(=S)N(C)C,208.377,1,4.79899E-06,5.318849781,FALSE
128-04-1,Dimethylcarbamodithioic acid sodium salt,[Na+].CN(C)C([S-])=S,143.212,0.8,5.58612E-06,5.252889423,FALSE
108-38-3,"1,3-Dimethylbenzene",Cc1cccc(C)c1,106.16799999999999,4.4,4.14437E-05,4.38254096,FALSE
634-83-3,"2,3,4,5-Tetrachloroaniline",Nc1cc(Cl)c(Cl)c(Cl)c1Cl,230.909,0.7,3.0315E-06,5.51834282,FALSE
23564-05-8,"N,N'-[1,2-Phenylenebis(iminocarbonothioyl)]bis-C,C'- dimethyl ester carbamic acid",COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,342.4020000000001,8.5,2.48246E-05,4.605117367,FALSE
57057-83-7,"3,4,5-Trichloro-2-methoxyphenol",COc1c(O)cc(Cl)c(Cl)c1Cl,227.474,0.75066585,3.30001E-06,5.481485106,FALSE
55-18-5,N-Ethyl-N-nitrosoethanamine,CCN(CC)N=O,102.137,13.85,0.000135602,3.867733324,FALSE
618-62-2,"1,3-Dichloro-5-nitrobenzene",[O-][N+](=O)c1cc(Cl)cc(Cl)c1,192.001,0.6,3.12498E-06,5.50515224,FALSE
108-43-0,3-Chlorophenol,Oc1cccc(Cl)c1,128.558,29,0.000225579,3.64670111,FALSE
75-35-4,"1,1-Dichloroethene",ClC(Cl)=C,96.944,410,0.004229246,2.373737078,FALSE
109-89-7,Diethylamine,CCNCC,73.139,56,0.000765665,3.115960991,FALSE
11067-81-5,Tetrapropylenebenzenesulfonic acid,CC1Cc2c3C(C)Cc3c4C(C)C5(CC5C)c4c2[S](=O)(=O)O1,318.43800000000005,56.24615384615385,0.000176631,3.752932057,FALSE
626-43-7,"3,5-Dichlorobenzenamine",Nc1cc(Cl)cc(Cl)c1,162.019,7.5,4.62909E-05,4.334504684,FALSE
89-59-8,4-Chloro-2-nitrotoluene,Cc1ccc(Cl)cc1[N+]([O-])=O,171.583,6,3.49685E-05,4.456323006,FALSE
1330-20-7,Dimethylbenzene,Cc1cccc(C)c1,106.16799999999999,72,0.00067817,3.16866114,FALSE
83-42-1,2-Chloro-6-nitrotoluene,Cc1c(Cl)cccc1[N+]([O-])=O,171.58299999999997,6.8,3.9631E-05,4.401965344,FALSE
61-82-5,"1H-1,2,4-Triazol-3-amine",Nc1[nH]ncn1,84.082,5633400.2,66.99888442,-1.826067571,FALSE
88-72-2,1-Methyl-2-nitrobenzene,Cc1ccccc1[N+]([O-])=O,137.138,48,0.000350012,3.455916574,FALSE
3209-22-1,"1,2-Dichloro-3-nitrobenzene",[O-][N+](=O)c1cccc(Cl)c1Cl,192.00099999999998,2.9,1.51041E-05,4.820905493,FALSE
591-35-5,"3,5-Dichlorophenol",Oc1cc(Cl)cc(Cl)c1,163.003,3.1999999999999997,1.96315E-05,4.707045619,FALSE
2764-72-9,"6,7-Dihydrodipyrido (1,2-a:2',1'-c)pyrazinediium",C1C[n+]2ccccc2c3cccc[n+]13,184.242,0.7799999999999999,4.23356E-06,5.373294037,FALSE
108-42-9,m-Chloroaniline,Nc1cccc(Cl)c1,127.574,21,0.00016461,3.783542878,FALSE
1113-02-6,"O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl ester phosphorothioic acid",CNC(=O)CS[P](=O)(OC)OC,213.19499999999996,2000,0.009381083,2.027747019,FALSE
95-57-8,2-Chlorophenol,Oc1ccccc1Cl,128.558,120,0.000933431,3.029917861,FALSE
143545-90-8,"6-[(R)-Hydroxy[(2aS,3R,4S,5aS,7R)-2,2a,3,4,5,5a,6,7-octahydro-3-methyl-4-(sulfooxy)-1H-1,8,8b-triazaacenaphthylen-7-yl]methyl]-2,4(1H,3H)pyrimidinedione",C[C@H]1[C@H](C[C@@H]2C[C@@H](NC3=NC[C@H]1N23)[C@H](O)C4=CC(=O)NC(=O)N4)O[S](O)(=O)=O,415.4280000000001,32.95,7.93158E-05,4.100640346,FALSE
