CAS,Chemical Name,Smiles,Molecular Weight (g/mol),Averaged LC50 (ug/org),Averaged LC50 (mol/org),-log10(mol/org),contains_metal
24353-61-5,2-[(Aminomethoxyphosphinothioyl)oxy]benzoic acid 1-methylethyl ester,CO[P](N)(=S)Oc1ccccc1C(=O)OC(C)C,289.29300000000006,0.519,1.7940288911242231e-09,2.7461705673371917,False
141-66-2,"Phosphoric acid, (1E)-3-(Dimethylamino)-1-methyl-3-oxo-1-propen-1-yl dimethyl ester",CO[P](=O)(OC)OC(/C)=C/C(=O)N(C)C,237.192,0.0858333333333333,3.618728006565707e-10,3.4414440584189694,False
80844-07-1,1-[[2-(4-Ethoxyphenyl)-2-methylpropoxy]methyl]-3-phenoxybenzene,CCOc1ccc(cc1)C(C)(C)COCc2cccc(Oc3ccccc3)c2,376.496,0.0145,3.851302537078747e-11,4.414392364258834,False
40487-42-1,"N-(1-Ethylpropyl)-3,4-dimethyl-2,6-dinitro-benzenamine",CCC(CC)Nc1c(cc(C)c(C)c1[N+]([O-])=O)[N+]([O-])=O,281.312,100.6,3.5761005573882377e-07,0.4465902776544156,False
55290-64-7,"2,3-Dihydro-5,6-dimethyl-1,4-dithiin 1,1,4,4-tetraoxide",CC1=C(C)[S](=O)(=O)CC[S]1(=O)=O,210.27599999999995,100.0,4.755654473168598e-07,0.3227897070069813,False
23135-22-0,2-(Dimethylamino)-N-[[(methylamino)carbonyl]oxy]-2-oxo-ethanimidothioic acid methyl ester,CNC(=O)O\N=C(SC)\C(=O)N(C)C,219.266,1.530045625,6.978034100134084e-09,2.156266912580101,False
2439-10-3,N-Dodecylguanidine acetate (1:1),CCCCCCCCCCCCN=C(N)N.CC(O)=O,287.448,137.36333333333334,4.778719397363466e-07,0.3206884701601997,False
123343-16-8,"2-Chloro-6-[(4,6-dimethoxy-2-pyrimidinyl)thio]benzoic acid sodium salt (1:1)",[Na+].COc1cc(OC)nc(Sc2cccc(Cl)c2C([O-])=O)n1,348.7430000000001,25.0,7.168602667293677e-08,1.1445654905002738,False
56-72-4,"Phosphorothioic acid O-(3-chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl) O,O-diethyl ester",CCO[P](=S)(OCC)Oc1ccc2C(=C(Cl)C(=O)Oc2c1)C,362.7710000000002,10.374285714285714,2.8597340234709253e-08,1.5436743576088836,False
25171-63-5,"N-[[(Methylamino)carbonyl]oxy]ethanimidothioic acid, 2-Cyanoethylester",CNC(=O)O\N=C(/C)SCCC#N,201.251,12.0,5.962703290915325e-08,1.224556800971923,False
55219-65-3,"beta-(4-Chlorophenoxy)-alpha-(1,1-dimethylethyl)-1H-1,2,4-triazole-1-ethanol",CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n2cncn2,295.77,212.4,7.181255705446799e-07,0.1437996089242171,False
243973-20-8,"2,2-Dimethylpropanoic acid  8-(2,6-diethyl-4-methylphenyl)-1,2,4,5- tetrahydro-7-oxo-7H-pyrazolo[1,2-d][1,4,5]oxadiazepin-9-yl ester",CCc1cc(C)cc(CC)c1C2=C(OC(=O)C(C)(C)C)N3CCOCCN3C2=O,400.51900000000023,112.88571428571429,2.818485871724293e-07,0.5499841378342337,False
7632-00-0,"Nitrous acid, Sodium salt",[Na+].[O-]N=O,68.99499999999999,182.0,2.637872309587651e-06,-0.4212537690027449,False
114311-32-9,"2-[4,5-Dihydro-4-methyl-4-(1-methylethyl)-5-oxo-1H-imidazol-2-yl]-5-(methoxymethyl)-3-pyridinecarboxylic acid",COCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(c1)C(O)=O,305.33400000000006,49.0,1.6047999895196734e-07,0.794579087159866,False
76738-62-0,"(alphaR,betaR)-rel-beta-[(4-Chlorophenyl)methyl]-alpha-(1,1-dimethylethyl)-1H-1,2,4-triazole-1-ethanol",CC(C)(C)[C@@H](O)C(Cc1ccc(Cl)cc1)n2cncn2.CC(C)(C)[C@H](O)C(Cc3ccc(Cl)cc3)n4cncn4,587.5960000000001,236.0,4.016364985466204e-07,0.3961668277426658,False
62924-70-3,"2-Chloro-N-[2,6-dinitro-4-(trifluoromethyl)phenyl]-N-ethyl-6-fluorobenzenemethanamine",CCN(Cc1c(F)cccc1Cl)c2c(cc(cc2[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,421.7340000000001,73.88000000000001,1.7518151251736877e-07,0.7565117282783272,False
1689-84-5,"3,5-Dibromo-4-hydroxybenzonitrile",Oc1c(Br)cc(cc1Br)C#N,276.915,58.93333333333334,2.1282102209462589e-07,0.6719854753959402,False
2008-41-5,"N,N-Bis(2-methylpropyl)carbamothioic acid S-ethyl ester",CCSC(=O)N(CC(C)C)CC(C)C,217.378,26.01,1.1965332278335438e-07,0.9220752364869156,False
25939-05-3,"Benzoyl chloride, (2,4,6-Trichlorophenyl)hydrazone",Clc1cc(Cl)c(N\N=C(Cl)/c2ccccc2)c(Cl)c1,334.033,5.75,1.7213868090877247e-08,1.7641215293373391,False
22781-23-3,"2,2-Dimethyl-1,3-benzodioxol-4-ol 4-(N-methylcarbamate)",CNC(=O)Oc1cccc2OC(C)(C)Oc12,223.22799999999995,0.428,1.917322199724049e-09,2.717304899221982,False
19666-30-9,"3-[2,4-Dichloro-5-(1-methylethoxy)phenyl]-5-(1,1-dimethylethyl)-1,3,4-oxadiazol-2(3H)-one",CC(C)Oc1cc(N2N=C(OC2=O)C(C)(C)C)c(Cl)cc1Cl,345.226,23.35,6.763685238075927e-08,1.169816611385869,False
950-10-7,"N-(4-Methyl-1,3-dithiolan-2-ylidene)phosphoramidic acid diethyl ester",CCO[P](=O)(OCC)N=C1SCC(C)S1,269.328,3.51,1.3032436285867046e-08,1.8849743896132205,False
953-17-3,Methyl trithion,CO[P](=S)(OC)SCSc1ccc(Cl)cc1,314.821,1.46,4.63755594448909e-09,2.3337108382962817,False
25606-41-1,N-[3-(Dimethylamino)propyl]carbamic acid propyl ester hydrochloride (1:1),[Cl-].CCCOC(=O)NCCC[NH+](C)C,224.73199999999997,100.0,4.449744584660841e-07,0.351664916806909,False
947-02-4,"1,3-Dithiolan-2-ylidenephosphoramidic acid diethyl ester",CCO[P](=O)(OCC)N=C1SCCS1,255.301,4.23,1.6568677756843884e-08,1.780712148540181,False
131807-57-3,"5-Methyl-5-(4-phenoxyphenyl)-3-(phenylamino)-2,4-oxazolidinedione",CC1(OC(=O)N(Nc2ccccc2)C1=O)c3ccc(Oc4ccccc4)cc3,374.3960000000001,41.07333333333333,1.0970558802266405e-07,0.9597712504052424,False
9002-93-1,"alpha-(4-(1,1,3,3-Tetramethylbutyl)phenyl)-omega-hydroxypoly(oxy-1,2-ethanediyl)",CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,250.382,1436.0,5.735236558538553e-06,-0.758551335741935,False
10311-84-9,"S-[2-Chloro-1-(1,3-dihydro-1,3-dioxo-2H-isoindol-2-yl)ethyl], O,O-diethyl ester phosphorodithioic acid",CCO[P](=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,393.85400000000016,25.4375,6.458611566722691e-08,1.1898608339739,False
66215-27-8,"N-Cyclopropyl-1,3,5-triazine-2,4,6-triamine",Nc1nc(N)nc(NC2CC2)n1,166.188,25.0,1.504320408212386e-07,0.8226596526416747,False
